"category","id","name","price","stock","ean","sku","brand","url","image"
"Szenzoros labda","15322391544194","Puha baba labda","2990.00","5","","CHICZ-130","CHICCO TOYS","https://toysland-9695.myshopify.com/products/164844-puha-ball","https://cdn.shopify.com/s/files/1/0935/7620/0578/files/product-14275_51a4fc6c-0d1b-482f-9647-090706015e2b.jpg?v=1776797766"
"Plüss babajáték","15322392068482","Puha cica plüss játék babáknak","10990.00","14","","CHICZ-06121","CHICCO TOYS","https://toysland-9695.myshopify.com/products/164868-putty-cica","https://cdn.shopify.com/s/files/1/0935/7620/0578/files/product-14955_d4c26a16-32e4-48f8-aa1c-90ec6f34b98a.jpg?v=1776797777"
"Plüss babajáték","15322390856066","Puha plüss kalapács babajáték","1990.00","34","","AKUKU-140326","AKUKU","https://toysland-9695.myshopify.com/products/puha-pluss-jatek-babaknak","https://cdn.shopify.com/s/files/1/0935/7620/0578/files/product-13691_e88771fb-ba91-43e5-9c4a-390bb8df7027.jpg?v=1776797747"
"Szenzoros labda","15322391839106","Puha szenzoros baba labda szett","2990.00","40","","AKUKU-69300","AKUKU","https://toysland-9695.myshopify.com/products/a0640-szett-of-puha-sensory-balls","https://cdn.shopify.com/s/files/1/0935/7620/0578/files/product-14661_5a76646c-e79b-4ec3-ad6f-3406c7d595d3.jpg?v=1776797773"
"Mozgásfejlesztő játék","15322392756610","Push and Go lovacska gurulós játék gyerekeknek","4990.00","0","","CHICZ-260","CHICCO TOYS","https://toysland-9695.myshopify.com/products/lendkerekes-tologathato-jatek-lo","https://cdn.shopify.com/s/files/1/0935/7620/0578/files/product-15931_deb09a1c-1460-4ca9-9a43-93e6cc96b32a.jpg?v=1776797799"
"Éjszakai fény és altató játék","15322389807490","Rózsaszín éjszakai fény babaszobába","7990.00","7","","CHICZ-05","CHICCO TOYS","https://toysland-9695.myshopify.com/products/111381-fd-night-vilagos-rozsaszin","https://cdn.shopify.com/s/files/1/0935/7620/0578/files/product-10713_d6a904ed-f8b4-40e4-ad7d-f28cc36457fc.jpg?v=1776797718"
"Éjszakai fény és altató játék","15322390004098","Rózsaszín Good Night maci éjszakai fény","8990.00","20","","CHICZ-06114","CHICCO TOYS","https://toysland-9695.myshopify.com/products/079704-good-night-maci-rozsaszin","https://cdn.shopify.com/s/files/1/0935/7620/0578/files/product-10839_ad035dfe-5f89-47c1-9926-4ca54b2b46d2.jpg?v=1776797726"
"Akasztós babajáték","15325503684994","Sensillo békás babakocsi körforgó játék","3990.00","213","5903076320162","SILLOZ-0540","SENSILLO","https://toysland-9695.myshopify.com/products/sensillo-bekas-babakocsi-korforgo-jatek-silloz-0540","https://cdn.shopify.com/s/files/1/0935/7620/0578/files/product-16546.jpg?v=1777105272"
"Szenzoros babakönyv","15325503390082","Sensillo fekete-fehér baglyos textil babakönyv","2990.00","619","5903076320261","SILLOZ-0371","SENSILLO","https://toysland-9695.myshopify.com/products/sensillo-fekete-feher-baglyos-textil-babakonyv-silloz-0371","https://cdn.shopify.com/s/files/1/0935/7620/0578/files/product-16531.jpg?v=1777105258"
"Szenzoros babakönyv","15325503357314","Sensillo fekete-fehér delfines textil babakönyv","4990.00","224","5903076320254","SILLOZ-0370","SENSILLO","https://toysland-9695.myshopify.com/products/sensillo-fekete-feher-delfines-textil-babakonyv-silloz-0370","https://cdn.shopify.com/s/files/1/0935/7620/0578/files/product-16530.jpg?v=1777105255"
"Baba csörgő","15325503324546","Sensillo fekete-fehér maci baba csörgő","2990.00","362","5903076320049","SILLOZ-0301","SENSILLO","https://toysland-9695.myshopify.com/products/sensillo-fekete-feher-maci-baba-csorgo-silloz-0301","https://cdn.shopify.com/s/files/1/0935/7620/0578/files/product-16526.jpg?v=1777105253"
"Baba csörgő","15325503259010","Sensillo fekete-fehér oroszlán baba csörgő","1990.00","608","5903076320056","SILLOZ-030","SENSILLO","https://toysland-9695.myshopify.com/products/sensillo-fekete-feher-oroszlan-baba-csorgo-silloz-030","https://cdn.shopify.com/s/files/1/0935/7620/0578/files/product-16524.jpg?v=1777105248"
"Baba csörgő","15325503291778","Sensillo fekete-fehér tehén baba csörgő","2990.00","580","5903076320445","SILLOZ-0300","SENSILLO","https://toysland-9695.myshopify.com/products/sensillo-fekete-feher-tehen-baba-csorgo-silloz-0300","https://cdn.shopify.com/s/files/1/0935/7620/0578/files/product-16525.jpg?v=1777105250"
"Akasztós babajáték","15325503226242","Sensillo Jungle babakocsi fejlesztő rúd","5990.00","54","5903076320155","SILLOZ-0552","SENSILLO","https://toysland-9695.myshopify.com/products/sensillo-jungle-babakocsi-fejleszto-rud-silloz-0552","https://cdn.shopify.com/s/files/1/0935/7620/0578/files/product-16523.jpg?v=1777105246"
"Akasztós babajáték","15325503750530","Sensillo rákos babakocsi körforgó játék","4990.00","112","5903076320179","SILLOZ-0541","SENSILLO","https://toysland-9695.myshopify.com/products/sensillo-rakos-babakocsi-korforgo-jatek-silloz-0541","https://cdn.shopify.com/s/files/1/0935/7620/0578/files/product-16547.jpg?v=1777105273"
"Spirálos babakocsi játék","15325503783298","Sensillo rókás színes spirálos fejlesztő babajáték","4990.00","487","5903076320087","SILLOZ-0530","SENSILLO","https://toysland-9695.myshopify.com/products/sensillo-rokas-szines-spiralos-fejleszto-babajatek-silloz-0530","https://cdn.shopify.com/s/files/1/0935/7620/0578/files/product-16548.jpg?v=1777105275"
"Baba csörgő","15325503586690","Sensillo színes kacsás utazó csörgő","4990.00","539","5903076320285","SILLOZ-0501","SENSILLO","https://toysland-9695.myshopify.com/products/sensillo-szines-kacsas-utazo-csorgo-silloz-0501","https://cdn.shopify.com/s/files/1/0935/7620/0578/files/product-16543.jpg?v=1777105267"
"Baba csörgő","15325503619458","Sensillo színes madaras utazó csörgő","4990.00","607","5903076320292","SILLOZ-0502","SENSILLO","https://toysland-9695.myshopify.com/products/sensillo-szines-madaras-utazo-csorgo-silloz-0502","https://cdn.shopify.com/s/files/1/0935/7620/0578/files/product-16544.jpg?v=1777105268"
"Baba csörgő","15325503553922","Sensillo színes nyuszis utazó csörgő","3990.00","450","5903076320278","SILLOZ-0500","SENSILLO","https://toysland-9695.myshopify.com/products/sensillo-szines-nyuszis-utazo-csorgo-silloz-0500","https://cdn.shopify.com/s/files/1/0935/7620/0578/files/product-16542.jpg?v=1777105265"
"Baba csörgő","15325503652226","Sensillo színes pillangós utazó csörgő","4990.00","78","5903076320308","SILLOZ-0503","SENSILLO","https://toysland-9695.myshopify.com/products/sensillo-szines-pillangos-utazo-csorgo-silloz-0503","https://cdn.shopify.com/s/files/1/0935/7620/0578/files/foto_add-52571.jpg?v=1777105272"
"Plüss babajáték","15322389610882","Sofia bagoly rezgő plüss babajáték","2990.00","7","","ON-651","BABYONO","https://toysland-9695.myshopify.com/products/rezgo-pluss-jatek-babaknak","https://cdn.shopify.com/s/files/1/0935/7620/0578/files/product-5046_ef2488af-8a46-40bb-8040-38c080770cb1.jpg?v=1776797712"
"Baba csörgő","15322392658306","Süni tamburin zenélő fejlesztő játék","1990.00","2","","CHICZ-16371","CHICCO TOYS","https://toysland-9695.myshopify.com/products/csorgodob-baba-hangszer","https://cdn.shopify.com/s/files/1/0935/7620/0578/files/product-15763_7ebe6ad2-136d-4bac-b54b-8bd495508a10.jpg?v=1776797795"
"Vízi játék","15295041831298","Swimways Prémium Beülős Baba úszógumi – Biztonságos Csobbanás","7990.00","1","","","ToysLand","https://toysland-9695.myshopify.com/products/swimways-premium-beulos-baba-uszogumi-biztonsagos-csobbanas","https://cdn.shopify.com/s/files/1/0935/7620/0578/files/91F98w0CgRL._AC_SL1500.jpg?v=1773567556"
"Játszószőnyeg","15322391708034","Szafari multifunkciós játszószőnyeg babáknak","15990.00","111","","TOYZ-1114","TOYZ","https://toysland-9695.myshopify.com/products/tobbfunkcios-keszsegfejleszto-jatszoszonyeg-szafari","https://cdn.shopify.com/s/files/1/0935/7620/0578/files/product-14489_a79880cd-e231-496a-bac1-72e426e9053d.jpg?v=1776797770"
